Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases
2701,22,Female,T-shirt,Clothing,68,California,XL,Olive,Winter,3.2,No,Standard,No,36,Cash,Weekly
521,51,Male,Sunglasses,Accessories,84,South Carolina,M,White,Spring,3.9,Yes,Free Shipping,Yes,20,Debit Card,Quarterly
3157,18,Female,Shirt,Clothing,50,Montana,M,Black,Winter,3.1,No,2-Day Shipping,No,18,Cash,Monthly
1687,22,Male,Gloves,Accessories,75,Illinois,L,Red,Fall,4.2,No,Store Pickup,No,25,Cash,Annually
2929,40,Female,Jewelry,Accessories,80,Alabama,L,Yellow,Spring,3.6,No,Store Pickup,No,17,Credit Card,Weekly
3583,23,Female,Shorts,Clothing,41,California,S,Beige,Summer,3.4,No,2-Day Shipping,No,15,PayPal,Annually
1135,62,Male,T-shirt,Clothing,81,Wisconsin,M,Brown,Summer,,No,Express,Yes,2,Venmo,Every 3 Months
1411,61,Male,Hat,Accessories,93,Tennessee,M,Purple,Summer,4,No,Store Pickup,Yes,18,Debit Card,Annually
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,28,PayPal,Bi-Weekly
166,42,Male,Handbag,Accessories,60,Kentucky,S,Yellow,Winter,2.8,Yes,Store Pickup,Yes,7,Cash,Monthly
4568,35,Other,Shoes,Clothing,,Phoenix,M,Blue,Autumn,,No,Express,Yes,41,Credit Card,Monthly
947,46,Male,Coat,Outerwear,24,Pennsylvania,XL,Blue,Spring,2.8,Yes,Next Day Air,Yes,4,PayPal,Quarterly
4776,64,Other,Laptop,Electronics,884.04,Los Angeles,,Black,Spring,,No,Express,No,,Credit Card,Quarterly
3855,57,Female,T-shirt,Clothing,20,Florida,M,Black,Spring,4.2,No,Free Shipping,No,4,Venmo,Annually
481,68,Male,Hoodie,Clothing,88,Vermont,M,Gray,Summer,4.8,Yes,Standard,Yes,30,Debit Card,Bi-Weekly
3790,56,Female,Shirt,Clothing,75,North Dakota,M,Magenta,Summer,3.8,No,Express,No,18,Bank Transfer,Every 3 Months
3617,42,Female,Hoodie,Clothing,23,Wisconsin,L,Purple,Winter,3.3,No,Store Pickup,No,33,Debit Card,Fortnightly
2659,52,Female,Handbag,Accessories,47,Ohio,XL,Indigo,Summer,3.2,No,Next Day Air,No,39,PayPal,Monthly
3725,30,Female,Gloves,Accessories,71,Colorado,L,Green,Winter,3.1,No,Express,No,18,Bank Transfer,Annually
2134,21,Male,Hat,Accessories,34,Maine,M,Olive,Summer,3.8,No,Standard,No,13,Bank Transfer,Annually
4256,70,Male,Phone,Electronics,,Los Angeles,,Green,Autumn,,Yes,Standard,Yes,25,Cash,Weekly
833,58,Male,Jacket,Outerwear,80,California,L,Blue,Fall,2.5,Yes,Express,Yes,28,Cash,Bi-Weekly
1106,33,Male,T-shirt,Clothing,83,Massachusetts,S,Olive,Spring,3,No,Next Day Air,Yes,6,Venmo,Every 3 Months
3047,60,Female,Shoes,Footwear,49,Pennsylvania,M,White,Spring,3.2,No,Store Pickup,No,25,Cash,Every 3 Months
4685,68,Other,Phone,Clothing,1032.09,Phoenix,L,Black,Summer,,No,Express,No,,PayPal,Monthly
1612,41,Male,Pants,Clothing,26,Arkansas,L,Yellow,Winter,4.5,No,Next Day Air,Yes,6,Debit Card,Monthly
4289,34,Female,Phone,Accessories,1282.44,New York,S,Red,Autumn,,No,Express,Yes,36,PayPal,Weekly
3552,66,Female,Gloves,Accessories,31,Montana,L,Black,Spring,2.6,No,Store Pickup,No,20,Venmo,Weekly
2918,58,Female,Shirt,Clothing,45,Colorado,XL,White,Winter,2.9,No,Store Pickup,No,50,Venmo,Annually
1192,34,Male,T-shirt,Clothing,70,Indiana,L,Charcoal,Winter,4.1,No,Free Shipping,Yes,50,Venmo,Quarterly
1907,23,Male,Backpack,Accessories,30,Vermont,M,Green,Spring,4.6,No,2-Day Shipping,No,24,PayPal,Fortnightly
1332,38,Male,Socks,Clothing,91,Maryland,M,Lavender,Spring,3.2,No,Standard,Yes,8,PayPal,Bi-Weekly
316,66,Male,Jewelry,Accessories,24,Wisconsin,XL,Orange,Spring,4.5,Yes,Express,Yes,24,Debit Card,Annually
347,49,Male,Jeans,Clothing,50,New Mexico,L,Violet,Spring,4.7,Yes,Next Day Air,Yes,5,Cash,Weekly
3115,21,Female,Handbag,Accessories,56,Arkansas,M,Olive,Spring,4.7,No,Store Pickup,No,45,Venmo,Bi-Weekly
5042,46,Other,Bag,Clothing,,Los Angeles,M,White,Summer,,Yes,Express,No,31,PayPal,Monthly
1498,69,Male,Jacket,Outerwear,33,Michigan,S,Magenta,Spring,3.8,No,2-Day Shipping,Yes,16,Debit Card,Every 3 Months
1606,70,Male,Belt,Accessories,46,Connecticut,M,Lavender,Winter,3.4,No,Next Day Air,Yes,15,Credit Card,Bi-Weekly
4418,67,Female,Watch,Electronics,,Los Angeles,,Red,Autumn,,No,Express,No,47,PayPal,Quarterly
4894,24,Other,Bag,Accessories,,Los Angeles,L,Red,Spring,,No,Standard,No,4,PayPal,Quarterly
4576,65,Male,Headphones,Accessories,,New York,S,Black,Summer,,No,Standard,Yes,47,Cash,Weekly
2486,43,Male,Blouse,Clothing,55,Louisiana,M,Beige,Spring,4.6,No,2-Day Shipping,No,37,Bank Transfer,Annually
187,39,Male,Backpack,Accessories,56,Minnesota,S,Lavender,Summer,2.9,Yes,Standard,Yes,31,Debit Card,Annually
275,59,Male,Jewelry,Accessories,32,Maryland,M,Indigo,Spring,3,Yes,Express,Yes,28,Cash,Bi-Weekly
1402,23,Male,Sandals,Footwear,59,Indiana,M,Blue,Fall,3.5,No,2-Day Shipping,Yes,1,PayPal,Weekly
1181,23,Male,Skirt,Clothing,23,Oregon,S,Beige,Spring,4.9,No,Standard,Yes,34,Cash,Monthly
2130,40,Male,Skirt,Clothing,57,Minnesota,L,Orange,Fall,2.8,No,Store Pickup,No,12,PayPal,Every 3 Months
995,53,Male,Shoes,Footwear,68,New York,L,Violet,Fall,3.2,Yes,Express,Yes,20,Debit Card,Monthly
1230,34,Male,Jewelry,Accessories,52,Kansas,XL,Maroon,Winter,3.6,No,Express,Yes,39,Bank Transfer,Annually
4319,47,Other,Watch,Electronics,,Houston,,Green,Summer,,Yes,Express,Yes,28,PayPal,Monthly
4489,36,Female,Phone,Accessories,748.61,Los Angeles,L,Red,Summer,,No,Express,No,0,PayPal,Monthly
4708,33,Female,Bag,Electronics,,New York,,Green,Winter,4,Yes,Standard,Yes,31,Debit Card,Quarterly
4827,20,Female,Laptop,Electronics,,Houston,,Green,Summer,,No,Express,No,17,Debit Card,Monthly
1348,44,Male,Sweater,Clothing,95,Vermont,M,Cyan,Summer,3.9,No,2-Day Shipping,Yes,47,Bank Transfer,Monthly
4584,55,Female,Watch,Clothing,,New York,M,Black,Autumn,5,No,Express,Yes,,Debit Card,Quarterly
3116,26,Female,Scarf,Accessories,53,South Dakota,M,Charcoal,Fall,4.1,No,Free Shipping,No,9,Bank Transfer,Bi-Weekly
1168,60,Male,Socks,Clothing,83,New Jersey,XL,Beige,Summer,3.6,No,Free Shipping,Yes,16,PayPal,Quarterly
3685,29,Female,Skirt,Clothing,86,Pennsylvania,L,Charcoal,Spring,4.4,No,Free Shipping,No,47,Credit Card,Bi-Weekly
4111,49,Male,Phone,Clothing,,Houston,M,Black,Summer,,No,Express,No,,PayPal,Weekly
2850,56,Female,Coat,Outerwear,25,New Hampshire,M,Gold,Spring,4.1,No,Express,No,27,PayPal,Bi-Weekly
1636,68,Male,Sunglasses,Accessories,24,North Carolina,L,Violet,Summer,3.2,No,Standard,Yes,40,Cash,Annually
1489,23,Male,Hat,Accessories,44,Hawaii,L,Pink,Winter,4,No,Standard,Yes,37,Credit Card,Weekly
3827,50,Female,Jacket,Outerwear,31,Montana,M,Gray,Summer,4,No,Express,No,25,Bank Transfer,Annually
2417,59,Male,Sandals,Footwear,83,Nebraska,S,Black,Summer,4,No,Next Day Air,No,26,Credit Card,Every 3 Months
2832,34,Female,Hoodie,Clothing,53,Virginia,L,Pink,Winter,5,No,Express,No,4,Credit Card,Weekly
4607,47,Other,Shirt,Clothing,557.24,Los Angeles,L,White,Autumn,,No,Express,Yes,27,PayPal,Weekly
2367,30,Male,Shoes,Footwear,66,New Mexico,L,Brown,Winter,3.6,No,Express,No,32,Credit Card,Fortnightly
4851,42,Female,Watch,Accessories,,Chicago,L,Blue,Autumn,,No,Standard,Yes,,Cash,Weekly
